listing_id,host_name,last_review,price,nbhood_full,monthly_price,description,room_type,borough,price_range,labels
2595,Jennifer,2019-05-21,225.0,"Manhattan, Midtown",6750.0,Skylit Midtown Castle,entire home/apt,Manhattan,$176-350,Expensive
3831,Lisa Roxanne,2019-07-05,89.0,"Brooklyn, Clinton Hill",2670.0,Cozy Entire Floor of Brownstone,entire home/apt,Brooklyn,$70-175,Average
5099,Chris,2019-06-22,200.0,"Manhattan, Murray Hill",6000.0,Large Cozy 1 BR Apartment In Midtown East,entire home/apt,Manhattan,$176-350,Expensive
5178,Shunichi,2019-06-24,79.0,"Manhattan, Hell's Kitchen",2370.0,Large Furnished Room Near B'way,private room,Manhattan,$70-175,Average
5238,Ben,2019-06-09,150.0,"Manhattan, Chinatown",4500.0,Cute & Cozy Lower East Side 1 bdrm,entire home/apt,Manhattan,$70-175,Average
5295,Lena,2019-06-22,135.0,"Manhattan, Upper West Side",4050.0,Beautiful 1br on Upper West Side,entire home/apt,Manhattan,$70-175,Average
5441,Kate,2019-06-23,85.0,"Manhattan, Hell's Kitchen",2550.0,Central Manhattan/near Broadway,private room,Manhattan,$70-175,Average
5803,Laurie,2019-06-24,89.0,"Brooklyn, South Slope",2670.0,"Lovely Room 1, Garden, Best Area, Legal rental",private room,Brooklyn,$70-175,Average
6021,Claudio,2019-07-05,85.0,"Manhattan, Upper West Side",2550.0,Wonderful Guest Bedroom in Manhattan for SINGLES,private room,Manhattan,$70-175,Average
6848,Allen  &  Irina,2019-06-29,140.0,"Brooklyn, Williamsburg",4200.0,Only 2 stops to Manhattan studio,entire home/apt,Brooklyn,$70-175,Average
7097,Jane,2019-06-28,215.0,"Brooklyn, Fort Greene",6450.0,Perfect for Your Parents + Garden,entire home/apt,Brooklyn,$176-350,Expensive
7322,Doti,2019-07-01,140.0,"Manhattan, Chelsea",4200.0,Chelsea Perfect,private room,Manhattan,$70-175,Average
7726,Adam & Charity,2019-06-22,99.0,"Brooklyn, Crown Heights",2970.0,Hip Historic Brownstone Apartment with Backyard,entire home/apt,Brooklyn,$70-175,Average
8024,Lisel,2019-07-01,130.0,"Brooklyn, Park Slope",3900.0,CBG CtyBGd HelpsHaiti rm#1:1-4,private room,Brooklyn,$70-175,Average
8025,Lisel,2019-01-01,80.0,"Brooklyn, Park Slope",2400.0,CBG Helps Haiti Room#2.5,private room,Brooklyn,$70-175,Average
8110,Lisel,2019-07-02,110.0,"Brooklyn, Park Slope",3300.0,CBG Helps Haiti Rm #2,private room,Brooklyn,$70-175,Average
8490,Nathalie,2019-06-19,120.0,"Brooklyn, Bedford-Stuyvesant",3600.0,"MAISON DES SIRENES1,bohemian apartment",entire home/apt,Brooklyn,$70-175,Average
8505,Gregory,2019-06-23,60.0,"Brooklyn, Windsor Terrace",1800.0,Sunny Bedroom Across Prospect Park,private room,Brooklyn,$0-69,Budget
9518,Shon,2019-06-15,44.0,"Manhattan, Inwood",1320.0,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room,Manhattan,$0-69,Budget
9657,Dana,2019-04-19,180.0,"Manhattan, East Village",5400.0,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,Manhattan,$176-350,Expensive
9668,Ssameer & Trip,2019-06-01,50.0,"Manhattan, Harlem",1500.0,front room/double bed,private room,Manhattan,$0-69,Budget
9704,Teri,2019-06-14,52.0,"Manhattan, Harlem",1560.0,Spacious 1 bedroom in luxe building,private room,Manhattan,$0-69,Budget
9782,Andrea,2019-06-15,55.0,"Brooklyn, Greenpoint",1650.0,Loft in Williamsburg Area w/ Roof,private room,Brooklyn,$0-69,Budget
9783,Ssameer & Trip,2019-07-01,50.0,"Manhattan, Harlem",1500.0,back room/bunk beds,private room,Manhattan,$0-69,Budget
10452,Angela,2019-05-12,70.0,"Brooklyn, Bedford-Stuyvesant",2100.0,Large B&B Style rooms,private room,Brooklyn,$70-175,Average
10962,Laurie,2019-06-21,89.0,"Brooklyn, South Slope",2670.0,"Lovely room 2 & garden; Best area, Legal rental",private room,Brooklyn,$70-175,Average
11708,Tyrome,2019-06-22,85.0,"Brooklyn, Bushwick",2550.0,Cute apt in artist's home,entire home/apt,Brooklyn,$70-175,Average
12048,Ben,2019-07-05,40.0,"Manhattan, Lower East Side",1200.0,LowerEastSide apt share shortterm 1,shared room,Manhattan,$0-69,Budget
12192,Edward,2019-06-21,68.0,"Manhattan, East Village",2040.0,ENJOY Downtown NYC!,private room,Manhattan,$0-69,Budget
12299,Abdul,2019-05-27,120.0,"Brooklyn, South Slope",3600.0,Beautiful Sunny Park Slope Brooklyn,entire home/apt,Brooklyn,$70-175,Average
12318,Cyn,2019-06-16,135.0,"Manhattan, Upper West Side",4050.0,West Side Retreat,private room,Manhattan,$70-175,Average
12343,Earl,2019-06-13,150.0,"Manhattan, Harlem",4500.0,BEST BET IN HARLEM,entire home/apt,Manhattan,$70-175,Average
12627,Rana,2019-06-05,150.0,"Brooklyn, Prospect-Lefferts Gardens",4500.0,Entire apartment in central Brooklyn neighborhood.,entire home/apt,Brooklyn,$70-175,Average
12937,Orestes,2019-07-01,130.0,"Queens, Long Island City",3900.0,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room,Queens,$70-175,Average
12940,Adreinne,2019-05-25,110.0,"Brooklyn, Bedford-Stuyvesant",3300.0,Charming Brownstone 3 - Near PRATT,entire home/apt,Brooklyn,$70-175,Average
13394,Alexander,2019-06-17,80.0,"Brooklyn, Fort Greene",2400.0,Fort Greene brownstone,private room,Brooklyn,$70-175,Average
13808,Jt & Tiziana,2019-06-16,80.0,"Brooklyn, Bedford-Stuyvesant",2400.0,Blue Room for 2 in Brownstone for $1350 monthly,private room,Brooklyn,$70-175,Average
14287,Joya,2019-07-07,151.0,"Manhattan, Upper West Side",4530.0,Cozy 1BD on Central Park West in New York City,entire home/apt,Manhattan,$70-175,Average
14290,James,2019-05-17,228.0,"Brooklyn, Williamsburg",6840.0,* ORIGINAL BROOKLYN LOFT *,entire home/apt,Brooklyn,$176-350,Expensive
14314,Jeanne,2019-06-29,144.0,"Brooklyn, Greenpoint",4320.0,Greenpoint Place...Has It All!,entire home/apt,Brooklyn,$70-175,Average
14322,Francesca,2019-03-25,200.0,"Manhattan, Kips Bay",6000.0,Beautiful Apartment in Manhattan!!!,entire home/apt,Manhattan,$176-350,Expensive
14377,Joanna,2019-06-22,150.0,"Brooklyn, Williamsburg",4500.0,Williamsburg 1 bedroom Apartment,entire home/apt,Brooklyn,$70-175,Average
14991,Bianca,2019-05-18,110.0,"Manhattan, Lower East Side",3300.0,"Great Location, Manhattan Bedroom!",private room,Manhattan,$70-175,Average
15220,Luiz,2019-06-09,69.0,"Manhattan, Hell's Kitchen",2070.0,Best Location in NYC! TIMES SQUARE!,private room,Manhattan,$0-69,Budget
15338,Andrea,2019-06-04,49.0,"Brooklyn, Greenpoint",1470.0,Room in Greenpoint Loft w/ Roof,private room,Brooklyn,$0-69,Budget
15341,Ted,2019-06-29,180.0,"Manhattan, SoHo",5400.0,**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt,Manhattan,$176-350,Expensive
15385,Cristina,2019-06-30,80.0,"Brooklyn, Williamsburg",2400.0,"Very, very cozy place",private room,Brooklyn,$70-175,Average
15711,D,2019-03-30,250.0,"Manhattan, Upper East Side",7500.0,2 bedroom - Upper East Side-great for kids,entire home/apt,Manhattan,$176-350,Expensive
16326,Dimitri,2019-01-26,200.0,"Brooklyn, Prospect Heights",6000.0,Comfortable 4-bedroom apt in family house.,entire home/apt,Brooklyn,$176-350,Expensive
16421,Mark,2019-05-16,52.0,"Manhattan, Hell's Kitchen",1560.0,Your Heaven in Hells Kitchen,private room,Manhattan,$0-69,Budget
16580,Reka,2019-07-01,80.0,"Manhattan, East Village",2400.0,"Sunny, Modern room in East Village!",private room,Manhattan,$70-175,Average
16595,Daniel,2019-06-23,275.0,"Brooklyn, Williamsburg",8250.0,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt,Brooklyn,$176-350,Expensive
16821,Casey,2019-06-21,99.0,"Manhattan, East Village",2970.0,Large Room in Amazing East Village Apt,private room,Manhattan,$70-175,Average
